QC,Study ID,Reference,Collector,coral,plant,algae,fish,inverts,mobile inverts,sessile inverts,marine mammals,phytoplankton,zooplankton,mesh size,mesh size units,Descriptor of Taxa Sampled,Sys,Lat,Long,Loc,Event?,Event type,A priori?,Year of Event,Notes,Vis,Trwl,Line,Drdg,Trp,Source,Site,n1,n2,sub1,sub2,I1,I2,ind1_error,ind1_error_type,ind2_error,ind2_error_type,P1,P2,SiSz,SiSz (units),PltSz,PltSz (units),T1,T1m,T2,T2m,SppR1,SppR1 Error,SppR1 Error Type,SppR2,SppR2 Error,SppR2 Error Type,Shan1,Shan1 Error,Shan1 Error Type,Shan2,Shan2 Error,Shan2 Error Type,Simps1,Simps1 Error,Simps1 Error Type,Simps2,Simps2 Error,Simps2 Error Type,Even1,Even1 Error,Even1 Error Type,Even2,Even2 Error,Even2 Error Type
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2005,Nov,2006,Feb,30.45407799,,,17.22804122,,,3.07989218,,,2.427798011,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2006,Feb,2006,May,17.22804122,,,28.2839101,,,2.427798011,,,3.111170429,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2006,May,2006,Aug,28.2839101,,,25.87399532,,,3.111170429,,,2.955745372,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,M,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2006,Aug,2006,Nov,25.87399532,,,15.074577,,,2.955745372,,,1.354430048,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2003,Feb,2003,May,13.60248447,,,19.19254658,,,2.390127429,,,2.568105442,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2003,May,2003,Aug,19.19254658,,,24.22360248,,,2.568105442,,,2.548718572,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2003,Aug,2003,Nov,24.22360248,,,25.52795031,,,2.548718572,,,2.726907058,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2003,Nov,2004,Feb,25.52795031,,,22.73291925,,,2.726907058,,,2.634638186,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2004,Feb,2004,May,22.73291925,,,14.34782609,,,2.634638186,,,2.230752861,,,,,,,,,,,,,,
,360,Primo et al 2009,JD,0,0,0,0,0,0,0,0,0,1,335,µm,estuarine zooplankton,estuary,NA,NA,"Mondego estuary, Portugal",Yes,"Flood, Drought, Flood",Yes,"2003, 2005, 2006",Number of replicates = 3 months,0,1,0,0,0,Figure 3,S1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19625,m^2,2004,May,2004,Aug,14.34782609,,,27.01863354,,,2.230752861,,,3.063686686,,,,,,,,,,,,,,
