Common Name,Scientiﬁc name,2004,,,,2005,,,,2006,,,,2007,,,,2008,,
Rock beauty,Holacanthus tricolor,,,,,,,,,,,,,2/2,,1/1,,,,
Gray angelﬁsh,Pomacanthus arcuatus,,,8/6,,,,8/6,,1/1,,7/5,,,,6/5,,,,8/8
French angelﬁsh,Pomacanthus paru,3/3,,4/4,,2/2,,7/4,,,,,,4/4,,4/4,,2/2,,6/6
Sergeant major,Abudefduf saxatilis,34/9,,50/12,,21/7,,14/5,,63/3,,60/15,,33/8,,25/8,,14/8,,20/10
"Blue chromis
Yellowtail damselﬁsh","Chromis cyanea
Microspathodon chrysurus",,,1/1,,,,,,,,,,,,5/4,,,,
Dusky damselﬁsh,Stegastes adustus,6/2,,21/13,,4/3,,20/11,,7/6,,20/14,,22/9,,27/17,,15/6,,65/23
Longﬁn damselﬁsh,Stegastes diencaeus,,,,,5/2,,,,1/1,,,,4/1,,,,,,
Beaugregory,Stegastes leucostictus,40/15,,14/9,,11/9,,19/15,,30/10,,44/19,,28/14,,12/9,,21/10,,90/24
Bicolor damselﬁsh,Stegastes partitus,1/1,,,,1/1,,,,,,2/2,,10/5,,5/4,,6/4,,2/2
"Threespot damselﬁsh
Damselﬁsh species","Stegastes planifrons
Stegastes sp.",,,,,1/1,,1/1,,,,5/4,,,,2/2,,,,
Cocoa damselﬁsh,Stegastes variabilis,71/22,,55/19,,26/11,,28/16,,31/13,,56/20,,31/13,,34/17,,39/12,,99/23
Spanish hogﬁsh,Bodianus rufus,,,1/1,,,,,,,,3/3,,,,,,,,
Slippery dick,Halichoeres bivittatus,276/25,,170/25,,83/18,,75/22,,99/16,,144/22,,304/22,,116/20,,159/23,,145/22
Clown wrasse,Halichoeres maculipinna,1/1,,2/1,,1/1,,3/3,,11/7,,4/4,,23/7,,34/9,,7/5,,32/12
Blackear wrasse,Halichoeres poeyi,,,1/1,,1/1,,,,1/1,,,,28/8,,28/4,,7/3,,
Puddingwife,Halichoeres radiatus,,,,,,,2/2,,,,1/1,,,,1/1,,,,1/1
Hogﬁsh,Lachnolaimus maximus,,,,,,,1/1,,,,4/3,,,,3/1,,,,
Bluehead,Thalassoma bifasciatum,8/3,,92/24,,7/3,,52/16,,7/2,,80/19,,43/7,,212/25,,7/5,,228/25
Rosy razorﬁsh,Xyrichtys martinicensis,1/1,,,,,,,,2/2,,,,1/1,,,,1/1,,
Green razorﬁsh,Xyrichtys splendens,6/4,,,,1/1,,,,3/3,,,,,,,,,,
Razorﬁsh species Parrotﬁsh species Midnight parrotﬁsh,Xyrichtys spp. Scaridae spp. Scarus coelestinus,,,,,,,,,2/1,,1/1,,,,,,,,7/4
Rainbow parrotﬁsh,Scarus guacamaia,,,,,,,,,,,2/2,,,,1/1,,,,8/2
Striped parrotﬁsh,Scarus iseri,9/2,,9/5,,,,2/1,,,,16/6,,9/1,,15/4,,4/2,,13/7
Princess parrotﬁsh,Scarus taeniopterus,,,,,,,6/2,,,,1/1,,1/1,,,,,,
Redband parrotﬁsh,Sparisoma aurofrenatum,14/4,,5/4,,,,,,6/2,,16/11,,18/8,,19/7,,6/1,,9/4
Bucktooth parrotﬁsh,Sparisoma radians,58/16,,38/17,,24/14,,3/2,,11/7,,8/7,,54/11,,16/10,,38/13,,26/11
Redﬁn parrotﬁsh,Sparisoma rubripinne,2/2,,5/3,,,,2/2,,,,,,1/1,,3/1,,,,4/4
Stoplight parrotﬁsh,Sparisoma viride,,,6/5,,1/1,,4/4,,,,26/16,,1/1,,17/9,,1/1,,25/14
Roughhead tripleﬁn,Enneanectes boehlkei,,,,,,,,,1/1,,1/1,,,,,,,,
Rosy blenny,Malacoctenus macropus,14/9,,14/8,,13/8,,1/1,,13/6,,1/1,,56/17,,2/2,,38/14,,3/2
Saddled blenny,Malacoctenus triangulatus,,,,,2/2,,,,,,,,2/2,,,,2/1,,
Banded blenny,Paraclinus fasciatus,,,1/1,,,,,,,,,,,,,,,,
Roughhead blenny,Acanthemblemaria aspera,,,6/3,,2/2,,3/2,,,,,,,,6/4,,2/2,,5/5
Sailﬁn blenny,Emblemaria pandionis,13/5,,,,5/3,,,,11/8,,,,3/1,,,,6/4,,1/1
Seaweed blenny,Parablennius marmoreus,7/5,,14/8,,13/8,,3/3,,7/6,,10/7,,19/12,,5/3,,16/9,,6/6
Lancer dragonet,Callionymus bairdi,,,,,,,,,2/1,,,,,,,,,,
Colon goby,Coryphopterus dicrus,2/2,,,,,,,,,,,,,,,,,,
Bridled goby,Coryphopterus glaucofraenum,51/9,,22/12,,9/5,,2/2,,22/9,,23/13,,46/16,,12/7,,13/6,,64/21
Masked goby,Coryphopterus personatus,,,,,,,,,,,1/1,,,,6/1,,,,51/8
Dash goby,Ctenogobius saepepallens,2/2,,,,2/1,,,,,,,,,,,,,,
Tiger goby,Elacatinus macrodon,,,,,1/1,,1/1,,,,1/1,,,,2/2,,,,5/5
Neon goby,Elacatinus oceanops,,,,,,,2/2,,2/1,,1/1,,,,1/1,,,,1/1
Goldspot goby,Gnatholepis thompsoni,,,,,,,,,,,,,2/2,,,,,,
Seminole goby,Microgobius carri,,,,,3/1,,2/1,,,,,,,,,,,,
Blue goby,Ptereleotris calliura,5/4,,,,1/1,,1/1,,,,,,1/1,,,,7/4,,
"Hovering goby
Atlantic spadeﬁsh","Ptereleotris helenae
Chaetodipterus faber",,,,,,,2/1,,,,1/1,,,,,,2/1,,3/2
Ocean surgeon,Acanthurus bahianus,4/3,,81/22,,22/8,,50/15,,2/2,,54/14,,29/7,,95/18,,24/10,,184/25
Doctorﬁsh,Acanthurus chirurgus,10/5,,25/12,,14/9,,51/16,,2/2,,15/10,,31/9,,59/17,,6/4,,46/16
Blue tang,Acanthurus coeruleus,1/1,,10/9,,,,17/11,,,,17/10,,4/2,,37/18,,,,40/20
Great barracuda,Sphyraena barracuda,,,,,,,,,,,,,,,2/2,,,,
Spanish mackerel,Scomberomorus maculatus,,,,,,,,,,,,,,,1/1,,,,
"Cero
Peacock ﬂounder","Scomberomorus regalis
Bothus lunatus",,,1/1,,1/1,,,,1/1,,,,,,,,,,
Gray triggerﬁsh,Balistes capriscus,6/3,,21/12,,10/5,,19/10,,6/4,,15/8,,3/3,,7/5,,6/4,,15/10
Slender ﬁleﬁsh Planehead ﬁleﬁsh Scrawled cowﬁsh,Monacanthus tuckeri Stephanolepis hispidus Acanthostracion quadricornis,1/1,,,,,,1/1,,,,1/1,,1/1,,3/3,,,,3/3
Spotted trunkﬁsh,Rhinesomus bicaudalis,,,,,,,,,,,,,1/1,,,,,,1/1
Smooth trunkﬁsh,Rhinesomus triqueter,,,1/1,,,,,,1/1,,3/2,,,,3/2,,1/1,,3/3
Sharpnose puffer,Canthigaster rostrata,,,,,1/1,,10/7,,1/1,,6/5,,4/3,,17/11,,8/6,,31/15
Bandtail puffer,Sphoeroides spengleri,,,,,2/2,,,,1/1,,,,1/1,,,,1/1,,2/2
Balloonﬁsh,Diodon holocanthus,1/1,,,,3/3,,3/2,,1/1,,6/4,,,,2/1,,4/1,,6/5
Porcupineﬁsh,Diodon hystrix,,,,,,,,,1/1,,,,,,,,,,
,Total abundance,1407,,1968,,916,,1677,,713,,1510,,2374,,4314,,990,,2123
,Total species,48,,56,,49,,65,,45,,63,,60,,68,,48,,69
,SIMPER  %difference,69.38,,,,76.67,,,,78.46,,,,77.03,,,,77,,
