Common Name,Scientific name,site,2004,2005,2006,2007,2008
Seaweed blenny,Parablennius marmoreus,B,14,3,10,5,6
Seminole goby,Microgobius carri,B,NA,2,NA,NA,NA
Sergeant major,Abudefduf saxatilis,B,50,14,60,25,20
Sharpnose puffer,Canthigaster rostrata,B,NA,10,6,17,31
Silver porgy,Diplodus argenteus,B,1,NA,5,NA,NA
Slender filefish,Monacanthus tuckeri,B,NA,NA,NA,NA,NA
Slender mojarra,Eucinostomus jonesii,B,5,15,NA,3,NA
Slippery dick,Halichoeres bivittatus,B,170,75,144,116,145
Smallmouth grunt,Haemulon chrysargyreum,B,NA,NA,NA,9,1
Smooth trunkfish,Rhinesomus triqueter,B,1,NA,3,3,3
Southern stingray,Dasyatis americana,B,NA,2,NA,NA,NA
Spanish grunt,Haemulon macrostomum,B,1,NA,2,2,1
Spanish hogfish,Bodianus rufus,B,1,NA,3,NA,NA
Spanish mackerel,Scomberomorus maculatus,B,NA,NA,NA,1,NA
Spotfin butterflyfish,Chaetodon ocellatus,B,1,NA,NA,NA,2
Spottail pinfish,Diplodus holbrookii,B,NA,4,NA,NA,2
Spotted goatfish,Pseudupeneus maculatus,B,2,2,NA,NA,5
Spotted scorpionfish,Scorpaena plumieri,B,NA,1,NA,NA,1
Spotted trunkfish,Rhinesomus bicaudalis,B,NA,NA,NA,NA,1
Squirrelfish,Holocentrus adscensionis,B,NA,1,NA,NA,1
Stoplight parrotfish,Sparisoma viride,B,6,4,26,17,25
Striped grunt,Haemulon striatum,B,NA,NA,NA,1,NA
Striped parrotfish,Scarus iseri,B,9,2,16,15,13
Tarpon,Megalops atlanticus,B,NA,2,NA,NA,NA
Threespot damselfish,Stegastes planifrons,B,NA,1,5,2,NA
Tiger goby,Elacatinus macrodon,B,NA,1,1,2,5
Tomtate,Haemulon aurolineatum,B,469,242,96,843,13
Twospot cardinalfish,Apogon pseudomaculatus,B,1,NA,NA,NA,NA
White grunt,Haemulon plumierii,B,49,53,55,41,24
White margate,Haemulon album,B,NA,1,NA,NA,2
Yellow goatfish,Mulloidichthys martinicus,B,3,NA,NA,5,1
Yellow jack,Carangoides bartholomaei,B,6,3,NA,3,1
Yellow stingray,Urobatis jamaicensis,B,NA,1,NA,NA,NA
Yellowfin mojarra,Gerres cinereus,B,50,7,14,75,70
Yellowtail damselfish,Microspathodon chrysurus,B,NA,NA,NA,5,NA
Yellowtail snapper,Ocyurus chrysurus,B,6,5,4,9,7
