Common Name,Scientific name,site,2004,2005,2006,2007,2008
Sea bream,Archosargus rhomboidalis,N,NA,NA,NA,NA,NA
Seaweed blenny,Parablennius marmoreus,N,7,13,7,19,16
Seminole goby,Microgobius carri,N,NA,3,NA,NA,NA
Sergeant major,Abudefduf saxatilis,N,34,21,63,33,14
Sharpnose puffer,Canthigaster rostrata,N,NA,1,1,4,8
Silver porgy,Diplodus argenteus,N,NA,NA,NA,NA,NA
Slender filefish,Monacanthus tuckeri,N,NA,NA,NA,1,NA
Slender mojarra,Eucinostomus jonesii,N,NA,NA,NA,3,NA
Slippery dick,Halichoeres bivittatus,N,276,83,99,304,159
Smallmouth grunt,Haemulon chrysargyreum,N,1,NA,NA,NA,NA
Smooth trunkfish,Rhinesomus triqueter,N,NA,NA,1,NA,1
Southern stingray,Dasyatis americana,N,NA,NA,NA,NA,NA
Spanish grunt,Haemulon macrostomum,N,NA,NA,NA,NA,1
Spanish hogfish,Bodianus rufus,N,NA,NA,NA,NA,NA
Spanish mackerel,Scomberomorus maculatus,N,NA,NA,NA,NA,NA
Spotfin butterflyfish,Chaetodon ocellatus,N,NA,1,NA,NA,2
Spottail pinfish,Diplodus holbrookii,N,NA,NA,NA,NA,NA
Spotted goatfish,Pseudupeneus maculatus,N,NA,NA,NA,2,7
Spotted scorpionfish,Scorpaena plumieri,N,2,2,NA,1,NA
Spotted trunkfish,Rhinesomus bicaudalis,N,NA,NA,NA,1,NA
Squirrelfish,Holocentrus adscensionis,N,NA,NA,NA,NA,NA
Stoplight parrotfish,Sparisoma viride,N,NA,1,NA,1,1
Striped grunt,Haemulon striatum,N,NA,NA,13,NA,NA
Striped parrotfish,Scarus iseri,N,9,NA,NA,9,4
Tarpon,Megalops atlanticus,N,NA,4,NA,NA,NA
Threespot damselfish,Stegastes planifrons,N,NA,NA,NA,NA,NA
Tiger goby,Elacatinus macrodon,N,NA,1,NA,NA,NA
Tomtate,Haemulon aurolineatum,N,160,1,55,17,NA
Twospot cardinalfish,Apogon pseudomaculatus,N,NA,NA,NA,1,NA
White grunt,Haemulon plumierii,N,17,12,19,15,10
White margate,Haemulon album,N,NA,NA,NA,NA,NA
Yellow goatfish,Mulloidichthys martinicus,N,NA,NA,NA,NA,NA
Yellow jack,Carangoides bartholomaei,N,1,NA,NA,NA,NA
Yellow stingray,Urobatis jamaicensis,N,2,1,1,2,2
Yellowfin mojarra,Gerres cinereus,N,NA,NA,NA,1,7
Yellowtail damselfish,Microspathodon chrysurus,N,NA,NA,NA,NA,NA
Yellowtail snapper,Ocyurus chrysurus,N,12,39,4,22,11
