Taxa list,1991-C,1991-SE,1991-F,2008-C,2008-SE,2008-F
Liagora viscida (Forssk.) C. Agardh,0,0,0.3,0,0,0.8

Lithophyllum incrustans Phil.,e,e,e,3.2,0.4,54.5

Meredithia microphylla (J. Agardh) J. Agardh,0,0,0.6,0,0,0.3

Mesophyllum spp.,28,1.5,85,32.5,1.4,96

Microcladia glandulosa (Sol. ex Turner) Grev.,0,0,0.3,0.5,0.1,20.6

Monosporus pedicellatus (Sm.) Solier,e,e,e,0,0,0.3

Naccaria wiggii (Turner) Endl.,0,0,0.3,e,e,e

Nitophyllum punctatum (Stackh.) Grev.,0.1,0,16.9,0.2,0,29.7

Osmundea osmunda (S.G.Gmelin) K.W.Nam & Maggs,e,e,e,0,0,2

Osmundea pinnatifida (Huds.) Stackh.,e,e,e,0,0,0.3

Peyssonnelia atropurpurea P. Crouan & H. Crouan,e,e,e,0.9,0.2,24

Peyssonnelia coriacea Feldmann,0,0,0.3,0,0,4.8

Peyssonnelia harveyana P.L.Crouan & H.M.Crouan ex J. Agardh,e,e,e,0,0,0.3

Peyssonnelia sp.,0,0,0.6,e,e,e

Peyssonnelia squamaria (S.G.Gmelin) Decaisne,0,0,1.4,0,0,5.4

Phyllophora crispa (Huds.) P.S. Dixon,e,e,e,0.9,0.2,18.6

Pleonosporium borreri (Sm.) NÌ_geli ex Hauck,e,e,e,0,0,2.5

Pleonosporium flexuosum (C. Agardh) Bornet,0,0,0.6,0,0,1.7

Plocamium cartilagineum (Linnaeus) P.S. Dixon,,,,3.3,0.4,63.3

Plocamium raphelisianum P.J.L.Dangeard,e,e,e,0.3,0.1,23.7

Polysiphonia polyspora (C. Agardh) J. Agardh,0,0,0.3,0,0,2.5

Polysiphonia scopulorum Harv.,e,e,e,0,0,0.3

Pterocladiella capillacea (S.G. Gmel.) Santelices & Hommers.,0,0,1.4,0,0,0.3

Pterosiphonia complanata (Clemente) Falkenb.,9.2,0.9,58.8,5.8,0.6,61.9

Pterosiphonia parasitica (Huds.) Falkenb.,0,0,1.1,0.5,0.1,30.5

Pterosiphonia ardreana Maggs & Hommersand,e,e,e,3.3,0.4,46

Pterosiphonia pennata (C.Agardh) Sauvageau,0.48,,15,0.7,0.2,11.3

Pterothamnion crispum (Ducluz.) NÌ_geli,e,e,e,0.4,0.2,25.4

Pterothamnion plumula (J. Ellis) NÌ_geli,0.1,0,4.5,e,e,e

Radicilingua thysanorhizans (Holmes) Papenf.,e,e,e,0,0,0.6

Rhodophyllis divaricata (Stackh.) Papenf.,e,e,e,0,0,1.1

Rhodothamniella floridula (Dillwyn) Feldmann,e,e,e,0.1,0,0.8

Rhodymenia holmesii Ardiss.,0.1,0,3.7,0.1,0,5.9

Rhodymenia pseudopalmata (J.V. Lamour.) P.C. Silva,1.2,0.2,27.7,0.8,0.1,32.2

Scageliopsis patens Wollaston,e,e,e,0,0,0.3

Schizymenia dubyi (Chauv. ex Duby) J. Agardh,0,0,5.6,0,0,4.5

Scinaia furcellata (Turner) J. Agardh,0,0,1.4,0,0,0.8

Seirospora interrupta (Sm.) F. Schmitz,e,e,e,0,0,0.3

Spermothamnion repens (Dillwyn) Rosenv.,e,e,e,0.1,0,2.8

Sphaerococcus coronopifolius Stackh.,0.1,0,11.6,0.2,0.1,15

Sphondylothamnion multifidum (Huds.) NÌ_geli,0,0,7.3,0,0,4.8

Stenogramme interrupta (C. Agardh) Mont. ex Harv.,0,0,0.6,0,0,0.8

Trailliella intricata Batters,e,e,e,0.5,0.1,14.1

Cladostephus spongiosus (Huds.) C. Agardh,0.6,0.2,15,2.2,0.4,40.7

Colpomenia peregrina (Sauv.) Hamel,0,0,1.1,0.1,0,9.6

Cutleria adspersa (Mert. ex Roth) De Not.,e,e,e,0,0,0.3

Cystoseira baccata (S.G. Gmel.) P.C. Silva,23.6,2,39,23.2,1.9,41.5

Cystoseira tamariscifolia (Huds.) Papenf.,0,0,0.6,0,0,0.6

