"","year","Genus","species","Abundance"
"136","2003","Berardius","bairdii","1"
"137","2003","Callorhinus","ursinus","0"
"138","2003","Delphinus","capensis","0"
"139","2003","Delphinus","delphis","0"
"140","2003","Enhydra","lutris","35"
"141","2003","Eschrichtius","robustus","0"
"142","2003","Eumetopias","jubatus","1"
"143","2003","Grampus","griseus","18"
"144","2003","Lagenorhynchus","obliquidens","5"
"145","2003","Lissodelphis","borealis","2"
"146","2003","Megaptera","novaeangliae","18"
"147","2003","Mirounga","angustirostris","1"
"148","2003","Orcinus","orca","1"
"149","2003","Phoca","vitulina","7"
"150","2003","Phocoena","phocoena","16"
"151","2003","Phocoenoides","dalli","14"
"152","2003","Tursiops","truncatus","0"
"153","2003","Zalophus","californianus","197"
"154","2003","Ziphius","cavirostris","0"
"155","2004","Balaenoptera","acutorostrata","0"
"156","2004","Balaenoptera","musculus","10"
"157","2004","Balaenoptera","physalus","0"
"158","2004","Berardius","bairdii","0"
"159","2004","Callorhinus","ursinus","0"
"160","2004","Delphinus","capensis","0"
"161","2004","Delphinus","delphis","0"
"162","2004","Enhydra","lutris","35"
"163","2004","Eschrichtius","robustus","0"
"164","2004","Eumetopias","jubatus","1"
"165","2004","Grampus","griseus","18"
"166","2004","Lagenorhynchus","obliquidens","5"
"167","2004","Lissodelphis","borealis","2"
"168","2004","Megaptera","novaeangliae","18"
"169","2004","Mirounga","angustirostris","1"
"170","2004","Orcinus","orca","1"
"171","2004","Phoca","vitulina","7"
"172","2004","Phocoena","phocoena","16"
"173","2004","Phocoenoides","dalli","14"
"174","2004","Tursiops","truncatus","0"
"175","2004","Zalophus","californianus","79"
"176","2004","Ziphius","cavirostris","0"
"177","2005","Balaenoptera","acutorostrata","0"
"178","2005","Balaenoptera","musculus","2"
"179","2005","Balaenoptera","physalus","0"
"180","2005","Berardius","bairdii","0"
"181","2005","Callorhinus","ursinus","3"
"182","2005","Delphinus","capensis","0"
"183","2005","Delphinus","delphis","0"
"184","2005","Enhydra","lutris","56"
"185","2005","Eschrichtius","robustus","0"
"186","2005","Eumetopias","jubatus","0"
"187","2005","Grampus","griseus","12"
"188","2005","Lagenorhynchus","obliquidens","2"
"189","2005","Lissodelphis","borealis","3"
"190","2005","Megaptera","novaeangliae","30"
"191","2005","Mirounga","angustirostris","10"
"192","2005","Orcinus","orca","2"
"193","2005","Phoca","vitulina","21"
"194","2005","Phocoena","phocoena","26"
"195","2005","Phocoenoides","dalli","3"
"196","2005","Tursiops","truncatus","1"
"197","2005","Zalophus","californianus","51"
"198","2005","Ziphius","cavirostris","1"
"199","2006","Balaenoptera","acutorostrata","0"
"200","2006","Balaenoptera","musculus","0"
"201","2006","Balaenoptera","physalus","0"
"202","2006","Berardius","bairdii","0"
"203","2006","Callorhinus","ursinus","0"
"204","2006","Delphinus","capensis","0"
"205","2006","Delphinus","delphis","0"
"206","2006","Enhydra","lutris","21"
"207","2006","Eschrichtius","robustus","1"
"208","2006","Eumetopias","jubatus","0"
"209","2006","Grampus","griseus","25"
"210","2006","Lagenorhynchus","obliquidens","0"
"211","2006","Lissodelphis","borealis","4"
"212","2006","Megaptera","novaeangliae","23"
"213","2006","Mirounga","angustirostris","5"
"214","2006","Orcinus","orca","1"
"215","2006","Phoca","vitulina","11"
"216","2006","Phocoena","phocoena","17"
"217","2006","Phocoenoides","dalli","6"
"218","2006","Tursiops","truncatus","0"
"219","2006","Zalophus","californianus","120"
"220","2006","Ziphius","cavirostris","0"
"221","2007","Balaenoptera","acutorostrata","0"
"222","2007","Balaenoptera","musculus","0"
"223","2007","Balaenoptera","physalus","0"
"224","2007","Berardius","bairdii","0"
"225","2007","Callorhinus","ursinus","1"
"226","2007","Delphinus","capensis","0"
"227","2007","Delphinus","delphis","0"
"228","2007","Enhydra","lutris","3"
"229","2007","Eschrichtius","robustus","0"
"230","2007","Eumetopias","jubatus","1"
"231","2007","Grampus","griseus","3"
"232","2007","Lagenorhynchus","obliquidens","1"
"233","2007","Lissodelphis","borealis","0"
"234","2007","Megaptera","novaeangliae","21"
"235","2007","Mirounga","angustirostris","0"
"236","2007","Orcinus","orca","0"
"237","2007","Phoca","vitulina","4"
"238","2007","Phocoena","phocoena","12"
"239","2007","Phocoenoides","dalli","5"
"240","2007","Tursiops","truncatus","0"
"241","2007","Zalophus","californianus","51"
"242","2007","Ziphius","cavirostris","0"
